bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_fp64_4096,,,524288,256,,32.000000,N/A,N/A,,N/A,0.003118,0.000187,0.002865,11170.723210,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,N/A,N/A,,N/A,0.043184,0.000008,0.043176,11858.358852,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,N/A,N/A,,N/A,0.043184,0.000012,0.043176,11858.514580,,,,
MicroBench_LocalMem_fp64_4096,,,16777216,256,,1024.000000,N/A,N/A,,N/A,0.086237,0.000090,0.086146,11886.841264,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005493,0.000006,0.005490,11657.839496,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005497,0.000005,0.005491,11654.663577,,,,
MicroBench_LocalMem_fp64_4096,,,2097152,256,,128.000000,N/A,N/A,,N/A,0.010978,0.000054,0.010934,11706.574348,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,N/A,N/A,,N/A,0.001432,0.000023,0.001400,11431.306777,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,N/A,N/A,,N/A,0.001440,0.000026,0.001394,11477.300768,,,,
MicroBench_LocalMem_fp64_4096,,,524288,256,,32.000000,N/A,N/A,,N/A,0.003035,0.000285,0.002760,11592.413635,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000110,0.000007,0.000106,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000007,0.000105,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000167,0.000045,0.000131,N/A,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,N/A,N/A,,N/A,0.001484,0.000101,0.001399,11440.526779,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,N/A,N/A,,N/A,0.001482,0.000100,0.001407,11372.545396,,,,
MicroBench_LocalMem_fp64_4096,,,524288,256,,32.000000,N/A,N/A,,N/A,0.003051,0.000262,0.002760,11592.396837,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,N/A,N/A,,N/A,0.000240,0.000009,0.000234,8530.639926,,,,
